particao,Localidade,Modelo,horizonte_h,escopo,versao_previsao,N_previsoes,MAE_wm2,RMSE_wm2,nRMSE,nRMSE_percentual,R2
validacao_2023,Hyundai Metaplant Georgia,Sazonal Ingênuo,24,todas_horas,bruta,8712,77.05882690541782,160.87281743531938,0.8202231949159922,82.02231949159922,0.6602310766992409
validacao_2023,Hyundai Metaplant Georgia,Sazonal Ingênuo,24,todas_horas,pos_processada,8712,77.27071854912764,160.8888466870591,0.8203049213647712,82.03049213647712,0.6601633646640872
validacao_2023,Hyundai Metaplant Georgia,XGBoost,24,todas_horas,bruta,8712,57.63996196682036,110.67640627051742,0.5642926940688594,56.42926940688594,0.8391843109164554
validacao_2023,Hyundai Metaplant Georgia,XGBoost,24,todas_horas,pos_processada,8712,57.57757377226551,110.68997764836072,0.5643618888468928,56.43618888468927,0.839144869370347
validacao_2023,Hyundai Metaplant Georgia,LSTM,24,todas_horas,bruta,8712,61.154230929819285,113.58259203571926,0.5791101194820224,57.91101194820224,0.8306279012951907
validacao_2023,Hyundai Metaplant Georgia,LSTM,24,todas_horas,pos_processada,8712,59.85299686823193,113.48405189388889,0.5786077045231243,57.86077045231243,0.8309216560076202
validacao_2023,Hyundai Metaplant Georgia,TimesNet,24,todas_horas,bruta,8712,60.689432704800915,110.486755410374,0.5633257436734768,56.332574367347675,0.8397349739523834
validacao_2023,Hyundai Metaplant Georgia,TimesNet,24,todas_horas,pos_processada,8712,57.84574243558495,110.3756676280899,0.5627593535452139,56.27593535452139,0.8400570856134291
validacao_2023,Hyundai Metaplant Georgia,Persistência,24,diurno_elevacao_gt_0,bruta,4368,129.902586996337,199.02473481050527,0.5097635432665039,50.97635432665039,0.48016471748370737
validacao_2023,Hyundai Metaplant Georgia,Persistência,24,diurno_elevacao_gt_0,pos_processada,4368,129.902586996337,199.02473481050527,0.5097635432665039,50.97635432665039,0.48016471748370737
validacao_2023,Hyundai Metaplant Georgia,Sazonal Ingênuo,24,diurno_elevacao_gt_0,bruta,4368,153.35416666666666,227.1862355485266,0.5818938059375448,58.18938059375448,0.3226460374957971
validacao_2023,Hyundai Metaplant Georgia,Sazonal Ingênuo,24,diurno_elevacao_gt_0,pos_processada,4368,153.35416666666666,227.1862355485266,0.5818938059375448,58.18938059375448,0.3226460374957971
validacao_2023,Hyundai Metaplant Georgia,XGBoost,24,diurno_elevacao_gt_0,bruta,4368,114.07608120512296,156.27729287231318,0.4002742002019868,40.027420020198676,0.6794886569605858
validacao_2023,Hyundai Metaplant Georgia,XGBoost,24,diurno_elevacao_gt_0,pos_processada,4368,114.07608120512296,156.27729287231318,0.4002742002019868,40.027420020198676,0.6794886569605858
validacao_2023,Hyundai Metaplant Georgia,LSTM,24,diurno_elevacao_gt_0,bruta,4368,118.70218342101501,160.2368865515393,0.4104159371360405,41.04159371360405,0.663041325760445
validacao_2023,Hyundai Metaplant Georgia,LSTM,24,diurno_elevacao_gt_0,pos_processada,4368,118.6144250723527,160.22443165790312,0.4103840363237268,41.03840363237268,0.6630937059761857
validacao_2023,Hyundai Metaplant Georgia,TimesNet,24,diurno_elevacao_gt_0,bruta,4368,114.621942649882,155.83385446929017,0.39913841810052747,39.913841810052745,0.6813049847462007
validacao_2023,Hyundai Metaplant Georgia,TimesNet,24,diurno_elevacao_gt_0,pos_processada,4368,114.61094507756779,155.8332690670966,0.3991369187055065,39.91369187055065,0.6813073791477409
validacao_2023,Lucid AMP 1 Casa Grande,Persistência,24,todas_horas,bruta,8712,30.14061065197429,82.38136278796662,0.33217061513205487,33.217061513205486,0.9371243539302853
validacao_2023,Lucid AMP 1 Casa Grande,Persistência,24,todas_horas,pos_processada,8712,30.526629935720845,82.44433453307988,0.33242452405759726,33.24245240575973,0.9370281937724787
validacao_2023,Lucid AMP 1 Casa Grande,Sazonal Ingênuo,24,todas_horas,bruta,8712,36.89267676767677,96.22659399616535,0.38799609326731904,38.799609326731904,0.9142143305902076
validacao_2023,Lucid AMP 1 Casa Grande,Sazonal Ingênuo,24,todas_horas,pos_processada,8712,37.26061753902663,96.27861562266416,0.3882058501235968,38.82058501235968,0.9141215513246511
