Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2,Frequencia,Localidade,Pais,Origem
XGBoost,0.0515090654606581,0.0046011497750325,0.0678317755556534,0.9439942139609564,0.1470492545473909,14.704925454739096,14.014650335543209,344.73462351873286,18.56703055199546,0.9425728456263984,0.1157217460802144,11.572174608021449,0.0515090654606581,0.0046011497750325,0.0678317755556534,0.9439942139609564,mensal,Ford Rouge Electric Vehicle Center,EUA,oficial
MLP,0.0546050450898409,0.0038075833469574,0.0617056184391459,0.953653606450136,0.1337686522066264,13.376865220662642,14.912320959607827,285.17232294835804,16.887046010133272,0.9524949514908706,0.1052509955728767,10.525099557287673,0.0546050450898409,0.0038075833469574,0.0617056184391459,0.953653606450136,mensal,Ford Rouge Electric Vehicle Center,EUA,oficial
RNN,0.0440337050246597,0.0031119490148267,0.0557848457452988,0.9621209568889616,0.12093329291015,12.093329291015008,12.098448056072913,236.52636135031787,15.379413556775104,0.960598573685324,0.095854454781864,9.585445478186402,0.0440337050246597,0.0031119490148267,0.0557848457452988,0.9621209568889616,mensal,Ford Rouge Electric Vehicle Center,EUA,oficial
LSTM,0.0576822367347679,0.0054484744848779,0.0738137824859145,0.9336804687612884,0.1600173606095786,16.00173606095786,15.748541425123143,405.1571412084477,20.12851562357363,0.93250744164814,0.1254539312271708,12.54539312271708,0.0576822367347679,0.0054484744848779,0.0738137824859145,0.9336804687612884,mensal,Ford Rouge Electric Vehicle Center,EUA,oficial
XGBoost,0.1068008444284204,0.0160853802045276,0.1268281522554343,0.6938346717538273,0.2196433000423658,21.964330004236583,21.07292708525933,620.5383616902897,24.91060741311399,0.6928970320246453,0.1005193756895433,10.051937568954331,0.1068008444284204,0.0160853802045276,0.1268281522554343,0.6938346717538273,mensal,BMW San Luis Potosi,Mexico,oficial
MLP,0.1243758297810432,0.0238038793006861,0.1542850585788726,0.5469225826831567,0.2671936696297748,26.719366962977485,24.576864530563995,921.7694856509368,30.36065687120318,0.5438184610191705,0.1225114355345335,12.251143553453351,0.1243758297810432,0.0238038793006861,0.1542850585788726,0.5469225826831567,mensal,BMW San Luis Potosi,Mexico,oficial
RNN,0.1204771974033571,0.0187211783963258,0.136825357285577,0.6436655114155836,0.2369566414809311,23.695664148093112,23.73315289636732,720.4706604192573,26.841584536298477,0.6434407736675143,0.1083112617593752,10.831126175937523,0.1204771974033571,0.0187211783963258,0.136825357285577,0.6436655114155836,mensal,BMW San Luis Potosi,Mexico,oficial
LSTM,0.1948446343577127,0.04838439162457,0.2199645235590731,0.0790629158048631,0.3809385612545766,38.09385612545766,38.10817149302972,1861.5832746977485,43.14606905266977,0.0787068389523794,0.174103178325114,17.4103178325114,0.1948446343577127,0.04838439162457,0.2199645235590731,0.0790629158048631,mensal,BMW San Luis Potosi,Mexico,oficial
DilatedRNN,0.10718367207707384,0.02098029389840193,0.144845758993496,0.6450959425974162,0.27387709268745397,27.387709268745397,16.505703040478007,498.18759776231497,22.320116437024137,0.6444857016687248,0.09448792968026452,9.448792968026453,0.10718367207707384,0.02098029389840193,0.144845758993496,0.6450959425974162,mensal,BYD Camacari,Brasil,experimento
DeepAR_exp,0.21651535780411066,0.05898157941316179,0.242861234891783,0.002263650494510938,0.45920660294674603,45.920660294674605,33.27750056670613,1397.8544314670862,37.387891508710226,0.0024696728613006202,0.1582744639229747,15.82744639229747,0.21651535780411066,0.05898157941316179,0.242861234891783,0.002263650494510938,mensal,BYD Camacari,Brasil,experimento
DeepNPTS_aprox,0.08984532564135361,0.013097692202742048,0.11444514931940998,0.7784385610671827,0.21639504660394643,21.639504660394643,13.852063672629791,311.18371039988386,17.640399950111217,0.777934539214043,0.07467724797586583,7.467724797586584,0.08984532564135361,0.013097692202742048,0.11444514931940998,0.7784385610671827,mensal,BYD Camacari,Brasil,experimento
DilatedRNN,0.036095779946469876,0.002092815111174396,0.04574729621709239,0.9821123364234,0.08984391679748557,8.984391679748557,9.56671075607023,146.12879795445852,12.088374495955133,0.9834006454599118,0.05441415181135583,5.441415181135583,0.036095779946469876,0.002092815111174396,0.04574729621709239,0.9821123364234,mensal,Tesla Gigafactory Nevada,EUA,experimento
DeepAR_exp,0.31130895073332493,0.11543658370442751,0.3397595969276328,0.013342954802107565,0.6672598269558149,66.7259826955815,85.44886862058121,8684.951854944533,93.19308909433431,0.013441586998130028,0.41949584697637565,41.94958469763756,0.31130895073332493,0.11543658370442751,0.3397595969276328,0.013342954802107565,mensal,Tesla Gigafactory Nevada,EUA,experimento
DeepNPTS_aprox,0.03835414587874503,0.002849019409700154,0.05337620640041922,0.9756489235710257,0.10482646720907074,10.482646720907074,10.237012367071124,205.82034976225282,14.346440316756377,0.9766200433789008,0.0645785239040823,6.457852390408229,0.03835414587874503,0.002849019409700154,0.05337620640041922,0.9756489235710257,mensal,Tesla Gigafactory Nevada,EUA,experimento
