Localidade,Modelo,seed,N_teste,MAE_wm2,MSE_wm4,RMSE_wm2,R2,nRMSE_percentual
Lucid AMP 1 Casa Grande,XGBoost,89,12,10.420433388927504,164.7162918714615,12.83418450356163,0.9703137564518373,5.204951250976184
Rivian Normal,XGBoost,89,12,15.701442388069632,375.1135158711591,19.367847476453317,0.9364183642206885,10.765909993747043
Tesla Fremont Factory,XGBoost,89,12,13.746781569972592,276.2396904286404,16.620459994495953,0.9690528116753119,7.533008128421612
Tesla Gigafactory Nevada,XGBoost,89,12,12.609408219653057,273.4785157319214,16.53718584680965,0.9689344817361323,7.443986298587991
Tesla Gigafactory Texas,XGBoost,89,12,11.338896572772457,241.4489427551579,15.538627441159592,0.927410703131597,7.438769871167045
BMW San Luis Potosi,MLP,11,12,25.964753822844315,1143.197500410973,33.811203770510346,0.4342342600674862,13.643509521708511
BYD Camacari,MLP,11,12,16.634495783974906,392.4718465332899,19.810902214015645,0.7199260805331571,8.386565278823786
Ford Rouge Electric Vehicle Center,MLP,11,12,16.48789758952041,402.4298012205847,20.0606530606704,0.9329617719179389,12.503096783242395
GM Factory Zero,MLP,11,12,16.203324468830775,386.5807371794319,19.661656521754008,0.9350137911885426,12.267096707614215
Hyundai Metaplant Georgia,MLP,11,12,10.841655402436023,223.6696046288105,14.955587739330424,0.9256096919728789,7.540156504800728
Lucid AMP 1 Casa Grande,MLP,11,12,10.10350179316414,169.45891281834741,13.017638526950554,0.9694590103979633,5.279351712358816
Rivian Normal,MLP,11,12,19.296074314264075,614.0368521083421,24.77976699059824,0.8959209257092264,13.774207041393815
Tesla Fremont Factory,MLP,11,12,16.428424169321733,398.2164834165553,19.955362272245406,0.9553877269151128,9.044509372917716
Tesla Gigafactory Nevada,MLP,11,12,14.834935154403254,386.1172956650355,19.649867573727704,0.9561393922722783,8.84511707994843
Tesla Gigafactory Texas,MLP,11,12,16.128761546941323,393.4412239708758,19.835352882438865,0.881715689117551,9.4957309430698
BMW San Luis Potosi,MLP,23,12,27.88783447231906,1305.2857836311703,36.128739026309376,0.3540171519496861,14.578682210146393
BYD Camacari,MLP,23,12,17.222633815104157,407.7071762205631,20.191760107047703,0.7090539159751772,8.547794159132373
Ford Rouge Electric Vehicle Center,MLP,23,12,15.616337806911273,325.4197317715088,18.039393885923907,0.9457903909334395,11.243317303011082
GM Factory Zero,MLP,23,12,15.211102770198314,354.21130436922,18.820502234776306,0.9404552592116543,11.74229245355947
Hyundai Metaplant Georgia,MLP,23,12,13.32014177958431,286.324090354779,16.921113744513953,0.9047714269785333,8.531115466203813
Lucid AMP 1 Casa Grande,MLP,23,12,11.270863513702421,212.23053052280184,14.568134078282018,0.9617504307201609,5.90816094891733
Rivian Normal,MLP,23,12,20.476362120333835,633.9485328736486,25.178334592932245,0.8925459014016287,13.99575685163309
Tesla Fremont Factory,MLP,23,12,19.89560830456595,549.949809458051,23.451008708753896,0.9383890117455036,10.628865824485656
Tesla Gigafactory Nevada,MLP,23,12,15.181410125371931,408.2008504246897,20.203981053858907,0.9536308329732741,9.094543626409802
Tesla Gigafactory Texas,MLP,23,12,14.784403136242274,331.2984720440564,18.20160630395176,0.900398308375941,8.713611359394061
BMW San Luis Potosi,MLP,42,12,30.22664123810809,1238.8092282132668,35.196721839018856,0.3869162420462392,14.202594288062858
BYD Camacari,MLP,42,12,13.929707068694627,289.59751899514276,17.01756501368932,0.7933387759420767,7.204059579526052
Ford Rouge Electric Vehicle Center,MLP,42,12,18.729328399072852,436.7711347301603,20.899070188172495,0.9272410669863598,13.025652577322633
GM Factory Zero,MLP,42,12,18.320726266127423,474.4037740832391,21.780812062070577,0.9202502873049072,13.589258241805268
Hyundai Metaplant Georgia,MLP,42,12,13.243019294475763,250.8124278713722,15.837058687501672,0.9165822562375193,7.984567585093309
Lucid AMP 1 Casa Grande,MLP,42,12,12.673454130976344,213.36007432454963,14.60685025337597,0.9615468569751716,5.923862437697732
Rivian Normal,MLP,42,12,20.49419719032165,605.5777725605461,24.60848984721627,0.8973547373211251,13.679000059209645
Tesla Fremont Factory,MLP,42,12,16.52501607882921,486.39441226829973,22.054351322773012,0.9455091357321386,9.9958489618538
Tesla Gigafactory Nevada,MLP,42,12,14.255502926061341,292.57524081522524,17.10483092039279,0.9667652083646292,7.699503905353539
Tesla Gigafactory Texas,MLP,42,12,15.092825615868582,396.43815970522724,19.91075487532372,0.880814689282,9.531827958396395
BMW San Luis Potosi,MLP,67,12,23.17912312911056,855.9837560908026,29.25720007264541,0.5763756630321295,11.80587625566351
BYD Camacari,MLP,67,12,14.537946643462861,284.1133134584265,16.855661169423954,0.7972523889907508,7.135520694009602
Ford Rouge Electric Vehicle Center,MLP,67,12,18.265601542108495,399.10489777181084,19.977609911393575,0.9335156464945078,12.45133892025293
GM Factory Zero,MLP,67,12,16.586483072918153,355.7444244520139,18.861188309648306,0.9401975338460284,11.767676887193321
Hyundai Metaplant Georgia,MLP,67,12,14.004803431369915,317.3341562164041,17.813875384553583,0.8944577844287737,8.981218972980656
Lucid AMP 1 Casa Grande,MLP,67,12,10.636690937359026,178.39231555142888,13.356358618704009,0.9678489743399938,5.416720905143418
Rivian Normal,MLP,67,12,26.29024348878835,999.4124853521897,31.613485814635972,0.8305998639121679,17.572832669337764
Tesla Fremont Factory,MLP,67,12,14.704222738974172,420.06200184462324,20.495414166213457,0.9529403690723828,9.289280895990968
Tesla Gigafactory Nevada,MLP,67,12,14.526566085391446,337.4474704918046,18.369743343111917,0.9616679923481262,8.268886799810847
Tesla Gigafactory Texas,MLP,67,12,12.389109677702587,313.04783510433396,17.69315786128451,0.9058851864203745,8.47020305510997
BMW San Luis Potosi,MLP,89,12,29.872327146160373,1247.8016478037223,35.32423598329796,0.38246591485295134,14.254048842991834
BYD Camacari,MLP,89,12,16.469510931480155,384.8398577074586,19.617335642422457,0.7253723846251793,8.304622585304463
Ford Rouge Electric Vehicle Center,MLP,89,12,14.397734638113775,339.98017074553536,18.438551210589605,0.9433648597576788,11.492097970666402
GM Factory Zero,MLP,89,12,17.414623801000054,391.0502066713539,19.77498942278741,0.9342624503954194,12.33780619516899
Hyundai Metaplant Georgia,MLP,89,12,13.116275750467487,291.97595715308563,17.08730397555699,0.9028916717352939,8.614903570922564
Lucid AMP 1 Casa Grande,MLP,89,12,15.304044442526688,284.2325558439133,16.85919795968697,0.9487737564922618,6.837310425635214
Rivian Normal,MLP,89,12,23.19959242515092,790.2713221493638,28.111764835196023,0.866049232443562,15.626348273810617
Tesla Fremont Factory,MLP,89,12,13.911986657352083,356.0507169035529,18.86930621150531,0.9601115662558966,8.552268536250981
Tesla Gigafactory Nevada,MLP,89,12,14.769761533492575,371.4152626180275,19.272136949960363,0.9578094550006628,8.67508684542557
Tesla Gigafactory Texas,MLP,89,12,13.302057137141396,276.4220834591219,16.625946092151324,0.916896365549449,7.9592993228180005
BMW San Luis Potosi,RNN,11,12,16.898624179267625,398.3612490261028,19.958989178465497,0.8028519597578975,8.05385873713188
BYD Camacari,RNN,11,12,18.00813978450719,573.7333455369185,23.95273148383955,0.5905750992518147,10.139929218026248
Ford Rouge Electric Vehicle Center,RNN,11,12,13.906719602221761,301.55434036077247,17.365320047749552,0.9497659751168377,10.823190878798652
GM Factory Zero,RNN,11,12,14.009086535118039,274.13150093560705,16.55691701179924,0.9539170857514019,10.330019850512844
Hyundai Metaplant Georgia,RNN,11,12,13.427925149071967,363.14886550197815,19.056465189063214,0.8792202632573884,9.607695294779282
Lucid AMP 1 Casa Grande,RNN,11,12,8.774025020054504,130.17675441662627,11.409502811982048,0.9765386969800351,4.627166293094976
Rivian Normal,RNN,11,12,18.447575507900535,537.2179581096129,23.177962768751115,0.9089417067062897,12.883820017178769
Tesla Fremont Factory,RNN,11,12,8.428352029355366,106.35643657317725,10.31292570385229,0.9880848669245699,4.674199942760579
