tarefa,resolucao,tipo_horizonte,horizonte,localidade,metrica,valor_timesnet,valor_dilatedrnn,diferenca_timesnet_menos_dilatedrnn,melhor_timesnet,unidade_pareamento
hourly_72_extension,horaria,lead_exato,72,Tesla Fremont Factory,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,72,Tesla Gigafactory Nevada,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,lead_exato,72,Tesla Gigafactory Texas,MAE_wm2,0.0,0.0,0.0,False,localidade
hourly_72_extension,horaria,cumulativo,24,BMW San Luis Potosi,RMSE_wm2,91.5049804370848,97.56850708445916,-6.06352664737436,True,localidade
hourly_72_extension,horaria,cumulativo,24,BYD Camacari,RMSE_wm2,101.89324411784435,101.29241389773111,0.6008302201132381,False,localidade
hourly_72_extension,horaria,cumulativo,24,Ford Rouge Electric Vehicle Center,RMSE_wm2,111.9977086954788,116.07546284680741,-4.077754151328605,True,localidade
hourly_72_extension,horaria,cumulativo,24,GM Factory Zero,RMSE_wm2,113.18312759327738,117.97246320040199,-4.789335607124613,True,localidade
hourly_72_extension,horaria,cumulativo,24,Hyundai Metaplant Georgia,RMSE_wm2,109.2834745590396,112.36956559978269,-3.086091040743085,True,localidade
hourly_72_extension,horaria,cumulativo,24,Lucid AMP 1 Casa Grande,RMSE_wm2,72.0029858821362,75.2241811762231,-3.221195294086897,True,localidade
hourly_72_extension,horaria,cumulativo,24,Rivian Normal,RMSE_wm2,113.55183681621064,116.28144597529622,-2.7296091590855838,True,localidade
hourly_72_extension,horaria,cumulativo,24,Tesla Fremont Factory,RMSE_wm2,73.59252304307273,78.86064514470844,-5.268122101635711,True,localidade
hourly_72_extension,horaria,cumulativo,24,Tesla Gigafactory Nevada,RMSE_wm2,78.12567668010237,84.18235594685552,-6.05667926675315,True,localidade
hourly_72_extension,horaria,cumulativo,24,Tesla Gigafactory Texas,RMSE_wm2,106.94421132943857,111.94678910952572,-5.002577780087151,True,localidade
hourly_72_extension,horaria,cumulativo,48,BMW San Luis Potosi,RMSE_wm2,95.80739930922346,100.65468534405956,-4.847286034836102,True,localidade
hourly_72_extension,horaria,cumulativo,48,BYD Camacari,RMSE_wm2,105.32566715685579,103.86682327774963,1.4588438791061549,False,localidade
hourly_72_extension,horaria,cumulativo,48,Ford Rouge Electric Vehicle Center,RMSE_wm2,113.46044930647274,118.25311187907678,-4.792662572604044,True,localidade
hourly_72_extension,horaria,cumulativo,48,GM Factory Zero,RMSE_wm2,114.86656877038904,120.1784318808365,-5.311863110447462,True,localidade
hourly_72_extension,horaria,cumulativo,48,Hyundai Metaplant Georgia,RMSE_wm2,113.62256855936896,115.49023580201444,-1.8676672426454815,True,localidade
hourly_72_extension,horaria,cumulativo,48,Lucid AMP 1 Casa Grande,RMSE_wm2,74.2517906002748,76.55614914970526,-2.304358549430461,True,localidade
hourly_72_extension,horaria,cumulativo,48,Rivian Normal,RMSE_wm2,115.32942763831225,117.92275659488594,-2.5933289565736857,True,localidade
hourly_72_extension,horaria,cumulativo,48,Tesla Fremont Factory,RMSE_wm2,76.53537459008218,81.27084277590734,-4.735468185825155,True,localidade
hourly_72_extension,horaria,cumulativo,48,Tesla Gigafactory Nevada,RMSE_wm2,81.48175489777972,86.9660248922088,-5.48426999442907,True,localidade
hourly_72_extension,horaria,cumulativo,48,Tesla Gigafactory Texas,RMSE_wm2,111.87344919185122,115.97159202538579,-4.098142833534567,True,localidade
hourly_72_extension,horaria,cumulativo,72,BMW San Luis Potosi,RMSE_wm2,97.70409341314871,102.2763224347534,-4.572229021604684,True,localidade
hourly_72_extension,horaria,cumulativo,72,BYD Camacari,RMSE_wm2,106.55878569752726,106.01950301772331,0.5392826798039465,False,localidade
hourly_72_extension,horaria,cumulativo,72,Ford Rouge Electric Vehicle Center,RMSE_wm2,113.98092784964393,119.25028041277059,-5.26935256312666,True,localidade
hourly_72_extension,horaria,cumulativo,72,GM Factory Zero,RMSE_wm2,115.36001790790827,121.14031914496607,-5.780301237057799,True,localidade
hourly_72_extension,horaria,cumulativo,72,Hyundai Metaplant Georgia,RMSE_wm2,114.52928182065509,116.73069953058331,-2.201417709928222,True,localidade
hourly_72_extension,horaria,cumulativo,72,Lucid AMP 1 Casa Grande,RMSE_wm2,74.34853193625356,77.27007795804838,-2.9215460217948106,True,localidade
