tarefa,epoca,fase,modelo,mse_treino_normalizado,mse_validacao_normalizado,semente
daily_30,1,refit_epocas_fixas,LSTM,0.13658182750867065,0.13658182750867065,42
daily_30,2,refit_epocas_fixas,LSTM,0.03768295291082819,0.03768295291082819,42
daily_30,3,refit_epocas_fixas,LSTM,0.03324055542659493,0.03324055542659493,42
daily_30,4,refit_epocas_fixas,LSTM,0.03195822934656503,0.03195822934656503,42
daily_30,5,refit_epocas_fixas,LSTM,0.029687473098825475,0.029687473098825475,42
daily_30,6,refit_epocas_fixas,LSTM,0.027935121489386986,0.027935121489386986,42
daily_30,7,refit_epocas_fixas,LSTM,0.027126178474233136,0.027126178474233136,42
daily_30,8,refit_epocas_fixas,LSTM,0.026891311010418657,0.026891311010418657,42
daily_30,9,refit_epocas_fixas,LSTM,0.026870646115454883,0.026870646115454883,42
daily_30,10,refit_epocas_fixas,LSTM,0.026715651579076353,0.026715651579076353,42
daily_30,11,refit_epocas_fixas,LSTM,0.02650328125991968,0.02650328125991968,42
daily_30,12,refit_epocas_fixas,LSTM,0.026506320124897877,0.026506320124897877,42
daily_30,13,refit_epocas_fixas,LSTM,0.026294629477672072,0.026294629477672072,42
daily_30,14,refit_epocas_fixas,LSTM,0.026124338093916132,0.026124338093916132,42
daily_30,15,refit_epocas_fixas,LSTM,0.026187616982107056,0.026187616982107056,42
daily_30,16,refit_epocas_fixas,LSTM,0.026000639109471656,0.026000639109471656,42
daily_30,17,refit_epocas_fixas,LSTM,0.025848424091269185,0.025848424091269185,42
daily_30,18,refit_epocas_fixas,LSTM,0.025810128835409712,0.025810128835409712,42
daily_30,19,refit_epocas_fixas,LSTM,0.025469488594368848,0.025469488594368848,42
daily_30,20,refit_epocas_fixas,LSTM,0.025427388414407576,0.025427388414407576,42
daily_30,21,refit_epocas_fixas,LSTM,0.025370013449528363,0.025370013449528363,42
daily_30,22,refit_epocas_fixas,LSTM,0.025272162597855377,0.025272162597855377,42
daily_30,23,refit_epocas_fixas,LSTM,0.02519493023734852,0.02519493023734852,42
daily_30,24,refit_epocas_fixas,LSTM,0.02498765861480263,0.02498765861480263,42
daily_30,25,refit_epocas_fixas,LSTM,0.02496489192978297,0.02496489192978297,42
daily_30,26,refit_epocas_fixas,LSTM,0.025057453655913556,0.025057453655913556,42
daily_30,27,refit_epocas_fixas,LSTM,0.02500898718584183,0.02500898718584183,42
daily_30,28,refit_epocas_fixas,LSTM,0.024904815940051107,0.024904815940051107,42
daily_30,29,refit_epocas_fixas,LSTM,0.025057877645978714,0.025057877645978714,42
daily_30,30,refit_epocas_fixas,LSTM,0.024813729686943512,0.024813729686943512,42
daily_30,1,selecao_epocas,LSTM,0.1840831046691819,0.05903321357000442,67
daily_30,2,selecao_epocas,LSTM,0.04178220960883303,0.0360299359427558,67
daily_30,3,selecao_epocas,LSTM,0.03367314610452214,0.03384155428598797,67
daily_30,4,selecao_epocas,LSTM,0.031972713137242766,0.03293669585197691,67
daily_30,5,selecao_epocas,LSTM,0.03092760774180391,0.03176582096114991,67
daily_30,6,selecao_epocas,LSTM,0.029613404161704403,0.030104757396001665,67
daily_30,7,selecao_epocas,LSTM,0.027944078445853535,0.028255827275533524,67
daily_30,8,selecao_epocas,LSTM,0.027415118462492512,0.0278082423550742,67
daily_30,9,selecao_epocas,LSTM,0.027173895140605323,0.027628028411713856,67
daily_30,10,selecao_epocas,LSTM,0.02721741815475571,0.028907800931779165,67
daily_30,11,selecao_epocas,LSTM,0.027112484084059953,0.027509211528868902,67
daily_30,12,selecao_epocas,LSTM,0.026809586453292563,0.026802114967315917,67
daily_30,13,selecao_epocas,LSTM,0.02670118662737303,0.027621337761954655,67
daily_30,14,selecao_epocas,LSTM,0.026506093314097322,0.026973580405825662,67
daily_30,15,selecao_epocas,LSTM,0.026631453950673817,0.026972673336664834,67
daily_30,16,selecao_epocas,LSTM,0.026345334062745557,0.026527630336700924,67
daily_30,17,selecao_epocas,LSTM,0.02649760542798791,0.02824910901841663,67
daily_30,18,selecao_epocas,LSTM,0.02658014046805086,0.026900100140344527,67
daily_30,19,selecao_epocas,LSTM,0.026290664965358423,0.026480048497517904,67
daily_30,20,selecao_epocas,LSTM,0.026160146881526836,0.026601268147665356,67
daily_30,21,selecao_epocas,LSTM,0.026226302263202127,0.02688121623463101,67
daily_30,22,selecao_epocas,LSTM,0.034762992483634424,0.03285447771587069,67
daily_30,23,selecao_epocas,LSTM,0.031142802323514095,0.03213970218385969,67
daily_30,24,selecao_epocas,LSTM,0.030787192778740403,0.03186516587696378,67
daily_30,1,refit_epocas_fixas,LSTM,0.14963925421737426,0.14963925421737426,67
daily_30,2,refit_epocas_fixas,LSTM,0.03569744663864541,0.03569744663864541,67
daily_30,3,refit_epocas_fixas,LSTM,0.032270370810891,0.032270370810891,67
daily_30,4,refit_epocas_fixas,LSTM,0.030662605362065012,0.030662605362065012,67
daily_30,5,refit_epocas_fixas,LSTM,0.02848267592905953,0.02848267592905953,67
daily_30,6,refit_epocas_fixas,LSTM,0.02759444050324363,0.02759444050324363,67
daily_30,7,refit_epocas_fixas,LSTM,0.02718884556153633,0.02718884556153633,67
daily_30,8,refit_epocas_fixas,LSTM,0.026856614010377304,0.026856614010377304,67
daily_30,9,refit_epocas_fixas,LSTM,0.026843510951076805,0.026843510951076805,67
daily_30,10,refit_epocas_fixas,LSTM,0.02661255061126954,0.02661255061126954,67
daily_30,11,refit_epocas_fixas,LSTM,0.026568259660924614,0.026568259660924614,67
daily_30,12,refit_epocas_fixas,LSTM,0.02666583924694767,0.02666583924694767,67
daily_30,13,refit_epocas_fixas,LSTM,0.02634232041098219,0.02634232041098219,67
daily_30,14,refit_epocas_fixas,LSTM,0.02611018733938313,0.02611018733938313,67
daily_30,15,refit_epocas_fixas,LSTM,0.026084047079336044,0.026084047079336044,67
daily_30,16,refit_epocas_fixas,LSTM,0.026142562139134167,0.026142562139134167,67
daily_30,17,refit_epocas_fixas,LSTM,0.026039531552258816,0.026039531552258816,67
daily_30,18,refit_epocas_fixas,LSTM,0.026054456678099473,0.026054456678099473,67
daily_30,19,refit_epocas_fixas,LSTM,0.025907206664371758,0.025907206664371758,67
daily_30,1,selecao_epocas,LSTM,0.15872547917675503,0.06102747879331074,89
daily_30,2,selecao_epocas,LSTM,0.04472241991504175,0.03861975465502058,89
daily_30,3,selecao_epocas,LSTM,0.03531784704260549,0.0351713046005794,89
daily_30,4,selecao_epocas,LSTM,0.0330632517548957,0.03372640182101537,89
daily_30,5,selecao_epocas,LSTM,0.03211704201528483,0.033049413382060945,89
daily_30,6,selecao_epocas,LSTM,0.031542650720186624,0.03265424395364428,89
daily_30,7,selecao_epocas,LSTM,0.03133462042824453,0.033437071660208324,89
daily_30,8,selecao_epocas,LSTM,0.031068162518119634,0.03728062323161534,89
daily_30,9,selecao_epocas,LSTM,0.03247181235724447,0.032648041059100436,89
daily_30,10,selecao_epocas,LSTM,0.03128618216098416,0.03270986859760587,89
daily_30,11,selecao_epocas,LSTM,0.031129456737411278,0.032126292917463516,89
daily_30,12,selecao_epocas,LSTM,0.030978139495475336,0.03228871856416975,89
daily_30,13,selecao_epocas,LSTM,0.0307763456788539,0.03192785639611501,89
daily_30,14,selecao_epocas,LSTM,0.030596749536211287,0.03182767871826414,89
daily_30,15,selecao_epocas,LSTM,0.029952758363855702,0.030034886012001643,89
daily_30,16,selecao_epocas,LSTM,0.027928499917254452,0.027517903551222786,89
daily_30,17,selecao_epocas,LSTM,0.027029177804164164,0.02734270001214648,89
daily_30,18,selecao_epocas,LSTM,0.026783891572445043,0.027036772474410043,89
daily_30,19,selecao_epocas,LSTM,0.026588898984804373,0.026587497714966064,89
daily_30,20,selecao_epocas,LSTM,0.02629249443203183,0.02680992457601759,89
daily_30,21,selecao_epocas,LSTM,0.02648863411999911,0.026370206938849554,89
daily_30,22,selecao_epocas,LSTM,0.0260693969154397,0.02678971457102942,89
daily_30,23,selecao_epocas,LSTM,0.02605276985902203,0.026347332265641954,89
daily_30,24,selecao_epocas,LSTM,0.02590078695903287,0.026240754789776274,89
daily_30,25,selecao_epocas,LSTM,0.02596028381408713,0.026448932034628732,89
daily_30,26,selecao_epocas,LSTM,0.025896436431652046,0.027406813190096902,89
daily_30,27,selecao_epocas,LSTM,0.026071972913530347,0.02621122738671681,89
daily_30,28,selecao_epocas,LSTM,0.02572036526831881,0.026285597577927606,89
daily_30,29,selecao_epocas,LSTM,0.025772522247091787,0.02657928054294889,89
daily_30,30,selecao_epocas,LSTM,0.025676530571663168,0.026217320041050988,89
daily_30,1,refit_epocas_fixas,LSTM,0.13313759472949543,0.13313759472949543,89
daily_30,2,refit_epocas_fixas,LSTM,0.03796059320675594,0.03796059320675594,89
daily_30,3,refit_epocas_fixas,LSTM,0.03341874646324685,0.03341874646324685,89
daily_30,4,refit_epocas_fixas,LSTM,0.03196014894287014,0.03196014894287014,89
daily_30,5,refit_epocas_fixas,LSTM,0.031515555774699375,0.031515555774699375,89
daily_30,6,refit_epocas_fixas,LSTM,0.03100887232319603,0.03100887232319603,89
daily_30,7,refit_epocas_fixas,LSTM,0.0306056916817773,0.0306056916817773,89
daily_30,8,refit_epocas_fixas,LSTM,0.02834297260633727,0.02834297260633727,89
daily_30,9,refit_epocas_fixas,LSTM,0.02705039128702779,0.02705039128702779,89
daily_30,10,refit_epocas_fixas,LSTM,0.026851510882960353,0.026851510882960353,89
daily_30,11,refit_epocas_fixas,LSTM,0.02644502769260766,0.02644502769260766,89
daily_30,12,refit_epocas_fixas,LSTM,0.026229003927144924,0.026229003927144924,89
daily_30,13,refit_epocas_fixas,LSTM,0.026252936170171094,0.026252936170171094,89
daily_30,14,refit_epocas_fixas,LSTM,0.025905257309448787,0.025905257309448787,89
daily_30,15,refit_epocas_fixas,LSTM,0.025985886755935307,0.025985886755935307,89
daily_30,16,refit_epocas_fixas,LSTM,0.02587084288412299,0.02587084288412299,89
daily_30,17,refit_epocas_fixas,LSTM,0.025687634566143237,0.025687634566143237,89
daily_30,18,refit_epocas_fixas,LSTM,0.0257004882724092,0.0257004882724092,89
daily_30,19,refit_epocas_fixas,LSTM,0.02571832530158858,0.02571832530158858,89
daily_30,20,refit_epocas_fixas,LSTM,0.025455345282091774,0.025455345282091774,89
daily_30,21,refit_epocas_fixas,LSTM,0.02537128125738831,0.02537128125738831,89
daily_30,22,refit_epocas_fixas,LSTM,0.025222119270673013,0.025222119270673013,89
daily_30,23,refit_epocas_fixas,LSTM,0.0251598783669858,0.0251598783669858,89
daily_30,24,refit_epocas_fixas,LSTM,0.025499539439405142,0.025499539439405142,89
daily_30,25,refit_epocas_fixas,LSTM,0.025104631069402455,0.025104631069402455,89
daily_30,26,refit_epocas_fixas,LSTM,0.02518465416349845,0.02518465416349845,89
daily_30,27,refit_epocas_fixas,LSTM,0.02499697361994722,0.02499697361994722,89
daily_30,1,selecao_epocas,TimesNet,0.03428572063607486,0.0262032617652227,11
daily_30,2,selecao_epocas,TimesNet,0.025985670593526168,0.02596223725212945,11
daily_30,3,selecao_epocas,TimesNet,0.02535164198177433,0.025956576021890793,11
daily_30,4,selecao_epocas,TimesNet,0.025067646878980093,0.025805647183978368,11
daily_30,5,selecao_epocas,TimesNet,0.02486026384208732,0.025650896250255524,11
daily_30,6,selecao_epocas,TimesNet,0.024734014044005177,0.025761220284870694,11
daily_30,7,selecao_epocas,TimesNet,0.024623764437233162,0.025804808802074856,11
daily_30,8,selecao_epocas,TimesNet,0.024513811906476723,0.0258636834886339,11
daily_30,9,selecao_epocas,TimesNet,0.02444282275045879,0.02601055171754625,11
daily_30,10,selecao_epocas,TimesNet,0.02438609152787907,0.02600865080243065,11
daily_30,1,refit_epocas_fixas,TimesNet,0.03245508598590363,0.03245508598590363,11
daily_30,2,refit_epocas_fixas,TimesNet,0.025634160148781105,0.025634160148781105,11
daily_30,3,refit_epocas_fixas,TimesNet,0.025066124393953292,0.025066124393953292,11
daily_30,4,refit_epocas_fixas,TimesNet,0.02482343087774082,0.02482343087774082,11
daily_30,5,refit_epocas_fixas,TimesNet,0.024672722716571234,0.024672722716571234,11
daily_30,1,selecao_epocas,TimesNet,0.03617006148287595,0.02614655065158057,23
daily_30,2,selecao_epocas,TimesNet,0.025759584458427888,0.02597397181722853,23
daily_30,3,selecao_epocas,TimesNet,0.025232057664072056,0.025820577901507182,23
daily_30,4,selecao_epocas,TimesNet,0.024931982112481085,0.025761294516306075,23
daily_30,5,selecao_epocas,TimesNet,0.02471949807538423,0.025850474550610496,23
daily_30,6,selecao_epocas,TimesNet,0.024577902644635254,0.025852403451525976,23
daily_30,7,selecao_epocas,TimesNet,0.024462813389642058,0.025915246880243693,23
daily_30,8,selecao_epocas,TimesNet,0.02437294666719079,0.025963385086210947,23
