Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2,Frequencia,Localidade,Pais,Lat,Lon
DeepNPTS_aprox,0.12669939807533376,0.027446497396367404,0.16566984455949552,0.6141625996891633,0.43701014161132135,43.701014161132136,47.35052639336323,3833.350812148455,61.91405989069409,0.613770525012026,0.42702865728119505,42.702865728119505,0.12669939807533376,0.027446497396367404,0.16566984455949552,0.6141625996891633,diaria,GM Factory Zero,EUA,42.3815123,-83.0453415
DilatedRNN,0.12175534046434829,0.024359548060433552,0.1560754563037813,0.6583631597202866,0.4087800256049361,40.87800256049361,45.19092962046866,3353.3962462628324,57.908516180807396,0.6585588734408463,0.398941235376405,39.8941235376405,0.12175534046434829,0.024359548060433552,0.1560754563037813,0.6583631597202866,diaria,Ford Rouge Electric Vehicle Center,EUA,42.3056229,-83.1676332
DeepAR_exp,0.12630027138810854,0.027071817993301755,0.16453515731691434,0.6203242220703789,0.43093698018738985,43.09369801873898,46.88989763027753,3729.310940617726,61.0680844682206,0.6202834275033982,0.42070801786313183,42.07080178631318,0.12630027138810854,0.027071817993301755,0.16453515731691434,0.6203242220703789,diaria,Ford Rouge Electric Vehicle Center,EUA,42.3056229,-83.1676332
DeepNPTS_aprox,0.12329743988679868,0.026646028733439305,0.1632361134474823,0.626295814687925,0.4275346311007096,42.75346311007096,45.78049565117672,3669.407648710634,60.57563576810923,0.626382750688409,0.417315458258107,41.7315458258107,0.12329743988679868,0.026646028733439305,0.1632361134474823,0.626295814687925,diaria,Ford Rouge Electric Vehicle Center,EUA,42.3056229,-83.1676332
DilatedRNN,0.09606271629926086,0.016698268399675274,0.12922177989671585,0.6035740391128716,0.21764272276570595,21.764272276570594,33.68506907379746,2048.60536899996,45.2615219474551,0.6027120748181846,0.19260624334445645,19.260624334445644,0.09606271629926086,0.016698268399675274,0.12922177989671585,0.6035740391128716,diaria,BMW San Luis Potosi,Mexico,21.9682649,-100.8491733
DeepAR_exp,0.09958821653959908,0.019000957464014295,0.13784396056416218,0.548906950100658,0.23216469327362452,23.21646932736245,34.8706491553383,2329.309201764218,48.26291746013929,0.5482749221107626,0.20537840587050057,20.537840587050056,0.09958821653959908,0.019000957464014295,0.13784396056416218,0.548906950100658,diaria,BMW San Luis Potosi,Mexico,21.9682649,-100.8491733
DeepNPTS_aprox,0.10235675951911277,0.02010503300091554,0.1417922177022263,0.5226955972147169,0.23881457407850307,23.881457407850306,35.825421144289635,2466.4694119602764,49.66356221577623,0.5216753162760408,0.21133872079222438,21.13387207922244,0.10235675951911277,0.02010503300091554,0.1417922177022263,0.5226955972147169,diaria,BMW San Luis Potosi,Mexico,21.9682649,-100.8491733
DilatedRNN,0.10718367207707384,0.02098029389840193,0.144845758993496,0.6450959425974162,0.27387709268745397,27.387709268745397,16.505703040478007,498.18759776231497,22.320116437024137,0.6444857016687248,0.09448792968026452,9.448792968026453,0.10718367207707384,0.02098029389840193,0.144845758993496,0.6450959425974162,mensal,BYD Camacari,Brasil,-12.6733774,-38.2812339
DeepAR_exp,0.21651535780411066,0.05898157941316179,0.242861234891783,0.002263650494510938,0.45920660294674603,45.920660294674605,33.27750056670613,1397.8544314670862,37.387891508710226,0.0024696728613006202,0.1582744639229747,15.82744639229747,0.21651535780411066,0.05898157941316179,0.242861234891783,0.002263650494510938,mensal,BYD Camacari,Brasil,-12.6733774,-38.2812339
DeepNPTS_aprox,0.08984532564135361,0.013097692202742048,0.11444514931940998,0.7784385610671827,0.21639504660394643,21.639504660394643,13.852063672629791,311.18371039988386,17.640399950111217,0.777934539214043,0.07467724797586583,7.467724797586584,0.08984532564135361,0.013097692202742048,0.11444514931940998,0.7784385610671827,mensal,BYD Camacari,Brasil,-12.6733774,-38.2812339
DilatedRNN,0.036095779946469876,0.002092815111174396,0.04574729621709239,0.9821123364234,0.08984391679748557,8.984391679748557,9.56671075607023,146.12879795445852,12.088374495955133,0.9834006454599118,0.05441415181135583,5.441415181135583,0.036095779946469876,0.002092815111174396,0.04574729621709239,0.9821123364234,mensal,Tesla Gigafactory Nevada,EUA,39.5403926,-119.4390524
DeepAR_exp,0.31130895073332493,0.11543658370442751,0.3397595969276328,0.013342954802107565,0.6672598269558149,66.7259826955815,85.44886862058121,8684.951854944533,93.19308909433431,0.013441586998130028,0.41949584697637565,41.94958469763756,0.31130895073332493,0.11543658370442751,0.3397595969276328,0.013342954802107565,mensal,Tesla Gigafactory Nevada,EUA,39.5403926,-119.4390524
DeepNPTS_aprox,0.03835414587874503,0.002849019409700154,0.05337620640041922,0.9756489235710257,0.10482646720907074,10.482646720907074,10.237012367071124,205.82034976225282,14.346440316756377,0.9766200433789008,0.0645785239040823,6.457852390408229,0.03835414587874503,0.002849019409700154,0.05337620640041922,0.9756489235710257,mensal,Tesla Gigafactory Nevada,EUA,39.5403926,-119.4390524
DilatedRNN,0.07341828787322903,0.008079709497079137,0.08988720430116368,0.8905270747998292,0.1868869022578083,18.688690225780828,15.50437034146711,366.8748888893049,19.153978408918206,0.8897026016380053,0.09169538174512788,9.169538174512788,0.07341828787322903,0.008079709497079137,0.08988720430116368,0.8905270747998292,mensal,Tesla Gigafactory Texas,EUA,30.2219321,-97.6187733
DeepAR_exp,0.23247432483853944,0.07306835706566554,0.2703115925476848,0.009988318213586367,0.5620120969204252,56.20120969204252,49.348186079898824,3292.74346156799,57.382431645652574,0.010068423096685208,0.2747055396471544,27.47055396471544,0.23247432483853944,0.07306835706566554,0.2703115925476848,0.009988318213586367,mensal,Tesla Gigafactory Texas,EUA,30.2219321,-97.6187733
