tarefa,resolucao,particao,modelo,tipo_estimativa,semente,tipo_horizonte,horizonte,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
monthly_6,mensal,validacao_2023,LSTM,semente,23.0,cumulativo,6,10,70,420,16.315797734476618,19.559777598159116,0.08376034975685505,0.8799039331625625,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,23.0,lead_exato,1,10,70,70,16.377099071418293,18.815572281780696,0.08584272159165093,0.912696435745904,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,23.0,lead_exato,3,10,70,70,16.778005729021174,20.032687394450782,0.08008226307555495,0.6616755831012631,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,23.0,lead_exato,6,10,70,70,14.767470056529913,17.6437117742832,0.08369277735062235,0.9169028976781606,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,42.0,cumulativo,1,10,70,70,16.475073293581957,19.558702686968708,0.08910496164247957,0.9066639816947157,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,42.0,cumulativo,3,10,70,210,16.591403100300063,19.938092930472575,0.08385710971647739,0.8467683168846211,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,42.0,cumulativo,6,10,70,420,16.93447521521764,20.442680688484323,0.08736677629878145,0.871964422303711,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,42.0,lead_exato,1,10,70,70,16.475073293581957,19.558702686968708,0.08910496164247957,0.9066639816947157,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,42.0,lead_exato,3,10,70,70,16.814121479103783,20.663559587094966,0.08230119162349225,0.6437526864431216,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,42.0,lead_exato,6,10,70,70,16.09870945196368,18.794346525126713,0.08983454700020539,0.917115103294918,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,67.0,cumulativo,1,10,70,70,16.300192867321048,18.874042188717894,0.08651965944187093,0.9138934164365422,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,67.0,cumulativo,3,10,70,210,16.577560614935,19.70048734964325,0.08320819618750493,0.8498756915321473,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,67.0,cumulativo,6,10,70,420,16.813253923252365,20.124928234065624,0.08627923469138712,0.874616660877634,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,67.0,lead_exato,1,10,70,70,16.300192867321048,18.874042188717894,0.08651965944187093,0.9138934164365422,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,67.0,lead_exato,3,10,70,70,17.26831110603154,20.507522755442885,0.08207888743367917,0.6413563736420134,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,67.0,lead_exato,6,10,70,70,15.866976958762226,18.652947792116407,0.08912472398171725,0.9162308577635485,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,89.0,cumulativo,1,10,70,70,15.992621337492249,18.85399453682978,0.08622128764799449,0.9114558760597653,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,89.0,cumulativo,3,10,70,210,16.21368690068423,19.547205564882024,0.08249508785819092,0.8517846292528406,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,89.0,cumulativo,6,10,70,420,16.356309484842946,19.76606942278522,0.08453630193341315,0.8796832712065843,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,89.0,lead_exato,1,10,70,70,15.992621337492249,18.85399453682978,0.08622128764799449,0.9114558760597653,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,89.0,lead_exato,3,10,70,70,16.460630137914098,20.384299827392784,0.08134702546088071,0.6472467761203979,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,LSTM,semente,89.0,lead_exato,6,10,70,70,15.679496421543561,18.825626208227295,0.08953136320394142,0.9141307565640939,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,cumulativo,1,10,70,70,32.90605921064104,40.76724980484612,0.1879088823073614,0.6095839623787789,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,cumulativo,3,10,70,210,61.61922554742722,73.16448131339334,0.31211992755940654,-0.7336219187533627,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,cumulativo,6,10,70,420,93.15805437905448,110.63300257516858,0.47952636199051274,-2.132884720380635,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,lead_exato,1,10,70,70,32.90605921064104,40.76724980484612,0.1879088823073614,0.6095839623787789,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,lead_exato,3,10,70,70,88.90294897896902,97.21277552399899,0.3932224934253453,-4.961987516877099,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Persistencia,deterministica,,lead_exato,6,10,70,70,135.19241224016463,149.4004328566658,0.7305939552482162,-2.922743986758584,media_aritmetica_das_metricas_por_localidade
monthly_6,mensal,validacao_2023,Sazonal ingenuo,deterministica,,cumulativo,1,10,70,70,20.486450031825477,24.47265475055129,0.1121257439719944,0.8336703391308028,media_aritmetica_das_metricas_por_localidade
