Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2,Frequencia,Localidade,Pais,Origem
RNN,0.1211658183075623,0.0239301568780357,0.154693751903675,0.574892708476316,0.2988079704568124,29.88079704568124,42.98775759930102,3015.7408384002315,54.91576129309537,0.574852520399368,0.2801557718742161,28.015577187421613,0.1211658183075623,0.0239301568780357,0.154693751903675,0.574892708476316,diaria,Tesla Gigafactory Texas,EUA,oficial
LSTM,0.1278392533821468,0.0282447624760339,0.1680617817233707,0.4982458937852927,0.324629788146752,32.4629788146752,45.40106813180575,3557.6448263706548,59.645995895539,0.4984569920643231,0.3042873234541145,30.42873234541145,0.1278392533821468,0.0282447624760339,0.1680617817233707,0.4982458937852927,diaria,Tesla Gigafactory Texas,EUA,oficial
XGBoost,0.1340799677461075,0.0285112737876211,0.1688528169371809,0.4800388558796969,0.3345120417966897,33.45120417966898,47.25364198530519,3541.028523114967,59.5065418514214,0.4799370972098561,0.3188332032788951,31.883320327889507,0.1340799677461075,0.0285112737876211,0.1688528169371809,0.4800388558796969,diaria,Hyundai Metaplant Georgia,EUA,oficial
MLP,0.1300556178835536,0.0263744265017746,0.162402052024519,0.519008618080975,0.321732518296719,32.1732518296719,45.81737028261664,3276.2507151920204,57.23854221756543,0.5188244189255496,0.306681369786316,30.668136978631605,0.1300556178835536,0.0263744265017746,0.162402052024519,0.519008618080975,diaria,Hyundai Metaplant Georgia,EUA,oficial
RNN,0.1302924642832149,0.0260964393651238,0.1615439239498775,0.5240782796716974,0.3200324923239322,32.00324923239323,45.87355443968325,3241.051838618718,56.93023659373566,0.5239939988388909,0.3050294830092289,30.50294830092289,0.1302924642832149,0.0260964393651238,0.1615439239498775,0.5240782796716974,diaria,Hyundai Metaplant Georgia,EUA,oficial
LSTM,0.1503935802006942,0.0374057762444809,0.1934057296061338,0.317829488865809,0.3831534864461022,38.31534864461022,52.976708065371405,4644.189268043225,68.14828881228952,0.3179183573136737,0.3651352699044223,36.51352699044224,0.1503935802006942,0.0374057762444809,0.1934057296061338,0.317829488865809,diaria,Hyundai Metaplant Georgia,EUA,oficial
XGBoost,0.1312982369912665,0.0282702270066929,0.1681375240887438,0.6134691652106696,0.3952655004772618,39.52655004772618,48.164248667238674,3803.297902656786,61.67088375122239,0.61334552121957,0.3742935892751013,37.42935892751013,0.1312982369912665,0.0282702270066929,0.1681375240887438,0.6134691652106696,diaria,Rivian Normal,EUA,oficial
MLP,0.1277883067523554,0.0263230368830684,0.1622437576089398,0.6400925461902397,0.3814101605109955,38.14101605109956,46.85424054181299,3540.0424485758585,59.49825584482169,0.6401088468882382,0.3611074526773775,36.11074526773775,0.1277883067523554,0.0263230368830684,0.1622437576089398,0.6400925461902397,diaria,Rivian Normal,EUA,oficial
RNN,0.1272662014952766,0.0267257714838736,0.1634801868235832,0.6345860696624439,0.3843168157325439,38.43168157325439,46.653486360716215,3594.0285073441323,59.95021690823256,0.6346204649763519,0.3638504996121198,36.38504996121198,0.1272662014952766,0.0267257714838736,0.1634801868235832,0.6345860696624439,diaria,Rivian Normal,EUA,oficial
LSTM,0.1270715539809545,0.0270711852737106,0.1645332345567625,0.6298633244046214,0.3867923692506382,38.67923692506382,46.581342636300015,3639.8638441395697,60.33128412473557,0.629960709492569,0.3661632768506519,36.6163276850652,0.1270715539809545,0.0270711852737106,0.1645332345567625,0.6298633244046214,diaria,Rivian Normal,EUA,oficial
XGBoost,0.068879586962002,0.0104255133506943,0.1021054031415298,0.8697675047933486,0.1933631181264503,19.33631181264504,25.049966460929827,1377.0729981636234,37.10893420948146,0.8700692277873603,0.1814433392169548,18.14433392169548,0.068879586962002,0.0104255133506943,0.1021054031415298,0.8697675047933486,diaria,Tesla Fremont Factory,EUA,oficial
MLP,0.0714681968079921,0.0105341531434098,0.1026360226402498,0.8684104079475479,0.1943679840557194,19.43679840557194,26.00228465631417,1390.6237621821897,37.29106812873814,0.8687906744823783,0.182333879115192,18.2333879115192,0.0714681968079921,0.0105341531434098,0.1026360226402498,0.8684104079475479,diaria,Tesla Fremont Factory,EUA,oficial
RNN,0.069559283941912,0.0104777262244548,0.1023607650638409,0.8691152766868746,0.1938467122951194,19.384671229511945,25.310874506171576,1383.566281384525,37.1963208044092,0.8694565679616196,0.1818706141016761,18.187061410167612,0.069559283941912,0.0104777262244548,0.1023607650638409,0.8691152766868746,diaria,Tesla Fremont Factory,EUA,oficial
LSTM,0.0957211455128478,0.0175069792331258,0.1323139419453819,0.781307882656045,0.2505708375755388,25.05708375755388,34.81146219166267,2310.2189990576157,48.06473758440397,0.7820242362400882,0.2350115052259483,23.501150522594838,0.0957211455128478,0.0175069792331258,0.1323139419453819,0.781307882656045,diaria,Tesla Fremont Factory,EUA,oficial
XGBoost,0.0638438020506396,0.0093318447716395,0.0966014739620442,0.816687466224308,0.163071330262978,16.307133026297805,24.158729097233078,1337.6673095563583,36.57413443345391,0.8157634222070773,0.1574364709330548,15.743647093305484,0.0638438020506396,0.0093318447716395,0.0966014739620442,0.816687466224308,diaria,Lucid AMP 1 Casa Grande,EUA,oficial
MLP,0.0640022250199616,0.0093342489498589,0.0966139169574389,0.8166402391205753,0.1630923350751021,16.309233507510214,24.14852496512968,1335.2565553178558,36.54116247901612,0.8160954547742401,0.157294540352144,15.729454035214404,0.0640022250199616,0.0093342489498589,0.0966139169574389,0.8166402391205753,diaria,Lucid AMP 1 Casa Grande,EUA,oficial
RNN,0.0635095100293488,0.009291021900744,0.0963899470937921,0.8174893809671022,0.162714255299445,16.27142552994451,23.98953755398936,1330.2608517285787,36.47274121489333,0.8167835117570046,0.1570000152040542,15.70000152040542,0.0635095100293488,0.009291021900744,0.0963899470937921,0.8174893809671022,diaria,Lucid AMP 1 Casa Grande,EUA,oficial
LSTM,0.0660710007039539,0.009755005571427,0.0987674317344895,0.8083749963641845,0.1667276473020418,16.672764730204186,24.923583067334143,1395.0043753984953,37.34975736733099,0.8078664027344656,0.1607752057896932,16.07752057896932,0.0660710007039539,0.009755005571427,0.0987674317344895,0.8083749963641845,diaria,Lucid AMP 1 Casa Grande,EUA,oficial
XGBoost,0.1264405417256921,0.0261583986636956,0.1617355825528062,0.6322704354242815,0.4266321974462209,42.66321974462209,47.23616839977722,3651.8270315955024,60.430348597335616,0.6320599636510911,0.4167953234873139,41.6795323487314,0.1264405417256921,0.0261583986636956,0.1617355825528062,0.6322704354242815,diaria,GM Factory Zero,EUA,oficial
MLP,0.1237305026549656,0.0258507606673011,0.1607817174535125,0.6365951491774247,0.4241160562424381,42.41160562424381,46.24920012435291,3610.5661098201786,60.08798640177734,0.6362172101270198,0.41443401058147,41.443401058147,0.1237305026549656,0.0258507606673011,0.1607817174535125,0.6365951491774247,diaria,GM Factory Zero,EUA,oficial
