tarefa,resolucao,carater_tarefa,tipo_horizonte,horizonte,posicao_MAE,modelo,tipo_estimativa,semente,N_sementes,limitacao_sementes,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
daily_30,diaria,principal,lead_exato,1,4,DilatedRNN,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,43.2724100727806,53.882528901533895,0.2598576552488149,0.5585947505295084,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,1,5,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,43.87172358113863,62.88235167844662,0.3059156433309334,0.4148078091801165,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,1,6,Climatologia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,45.7364490274718,58.86086198271014,0.2838244748909386,0.4757399481349519,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,1,7,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,58.897465308554445,78.10592448525499,0.3772763997551293,0.0849185910236686,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,3,1,TimesNet,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,43.90156783522034,55.1141387430164,0.2653730968592792,0.5309639617292998,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,3,2,LSTM,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,43.97780103222372,55.41513796117256,0.2668071499029362,0.5322626304290734,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,3,3,XGBoost,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.06763984242024,55.03513654839559,0.2653204967896813,0.5369114886354713,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,3,4,DilatedRNN,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.14501533864772,54.95661827191127,0.2647042686021159,0.5375424658234029,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,3,5,Climatologia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,45.78175071368232,58.863116407482536,0.2837786932995207,0.4740396555262861,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,3,6,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,54.43299960835397,74.8680465908765,0.3623872999856339,0.1486720973164422,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,3,7,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,59.00745542735657,78.23037213848899,0.3776978904216536,0.0768516685932447,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,7,1,LSTM,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.102070023898136,55.73462932729069,0.2679453022616675,0.5273591404095177,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,7,2,XGBoost,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.26109062219693,55.05483054613452,0.2648725380700931,0.5361598099871474,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,7,3,TimesNet,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.34806705734043,55.481441040987775,0.2668833259839292,0.5254029757283535,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,7,4,DilatedRNN,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.54051813825329,55.16675776783129,0.2654158584047834,0.5349244004531025,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,7,5,Climatologia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,45.7421068093897,58.8442111927068,0.2834188256567061,0.4761962119557654,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,7,6,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,57.473565754480106,76.71766098961761,0.3686897114172171,0.1032474397824073,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,7,7,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,59.01057116454716,78.23433098342159,0.3773422654069298,0.0788385780539584,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,14,1,TimesNet,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.058653394953694,55.353679892217656,0.2660813800881126,0.5236240651229944,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,14,2,XGBoost,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.16431118068567,55.0413252274502,0.2647324986229193,0.5345331616608913,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,14,3,DilatedRNN,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.24624697387755,54.96765587747154,0.2643558724489295,0.5349478490913369,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,14,4,LSTM,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.49897755245527,55.73129695297233,0.2677799745481525,0.5261050904021762,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,14,5,Climatologia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,45.4327200848554,58.54958150415728,0.2818108082711288,0.4774963805978944,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,14,6,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,58.79206227449706,78.076106825228,0.3761748131949157,0.072872313479197,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,14,7,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,61.75729474950615,81.04463535501097,0.3905995840321551,0.0193124825880465,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,30,1,DilatedRNN,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,42.98433688832939,54.41164126570756,0.2620235293095989,0.5501502312726154,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,30,2,XGBoost,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.00855137953481,54.64005301525901,0.2632566508612359,0.5478983104074985,media_aritmetica_das_metricas_por_localidade
