tarefa,resolucao,limitacao_sementes,localidade,origem,horizonte,N_pontos,primeiro_alvo_local,ultimo_alvo_local,MAE_timesnet_wm2,MAE_dilatedrnn_wm2,ganho_timesnet_vs_dilatedrnn_wm2
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-02,1,1,2024-03-02 00:00:00,2024-03-02 00:00:00,23.591597660552623,36.72473389677529,13.133136236222668
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-03,1,1,2024-03-03 00:00:00,2024-03-03 00:00:00,36.67740839135979,48.61787329066911,11.940464899309319
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-04,1,1,2024-03-04 00:00:00,2024-03-04 00:00:00,37.66914974593857,48.03495821050939,10.365808464570819
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-05,1,1,2024-03-05 00:00:00,2024-03-05 00:00:00,26.843109350645136,38.29941290837996,11.456303557734827
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-06,1,1,2024-03-06 00:00:00,2024-03-06 00:00:00,34.8241159756937,44.93827685367967,10.114160877985967
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-07,1,1,2024-03-07 00:00:00,2024-03-07 00:00:00,28.141162864869784,38.8935763748467,10.752413509976918
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-08,1,1,2024-03-08 00:00:00,2024-03-08 00:00:00,8.078219526021883,17.77248174176941,9.694262215747528
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-09,1,1,2024-03-09 00:00:00,2024-03-09 00:00:00,6.86731068422057,0.32539780475315183,-6.541912879467418
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-10,1,1,2024-03-10 00:00:00,2024-03-10 00:00:00,14.744687124065308,7.4705192527669055,-7.274167871298403
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-11,1,1,2024-03-11 00:00:00,2024-03-11 00:00:00,24.706643784307005,29.78511595533621,5.078472171029205
