tarefa,resolucao,particao,modelo,tipo_estimativa,semente,localidade,tipo_horizonte,horizonte,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2
hourly_72_extension,horaria,validacao_2023,TimesNet,semente,42.0,BYD Camacari,cumulativo,72,3,216,54.004479334810405,102.2957772592888,0.43533977377833694,0.8892093657627073
hourly_72_extension,horaria,validacao_2023,TimesNet,semente,42.0,BYD Camacari,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,BYD Camacari,cumulativo,24,3,72,247.49101655843617,400.43516275096835,1.5723465065890285,-0.5424102658590528
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,BYD Camacari,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,BYD Camacari,cumulativo,48,3,144,221.66884071982025,372.4311004302127,1.5609423986596997,-0.42404093558762557
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,BYD Camacari,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,BYD Camacari,cumulativo,72,3,216,207.023604021274,351.17145912738556,1.4944791238686503,-0.3056478553926767
hourly_72_extension,horaria,validacao_2023,DilatedRNN,semente,42.0,BYD Camacari,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,teste_2024,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,24,3,72,57.25694444444444,143.39910070615272,0.7146876579685734,0.7133745607521228
hourly_72_extension,horaria,teste_2024,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,teste_2024,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,48,3,144,68.125,154.40294956163672,0.8877984641780742,0.6071065327570588
hourly_72_extension,horaria,teste_2024,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,teste_2024,Persistencia,deterministica,,BMW San Luis Potosi,cumulativo,72,3,216,54.870370370370374,131.80868747010794,0.6696619191707237,0.7648087179749413
hourly_72_extension,horaria,teste_2024,Persistencia,deterministica,,BMW San Luis Potosi,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,teste_2024,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,cumulativo,24,3,72,45.90277777777778,117.69974157434105,0.586604464289105,0.8069041694370866
hourly_72_extension,horaria,teste_2024,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,teste_2024,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,cumulativo,48,3,144,63.614583333333336,129.3853055476806,0.7439500079406647,0.7241115403476988
hourly_72_extension,horaria,teste_2024,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,lead_exato,48,3,3,0.0,0.0,,
hourly_72_extension,horaria,teste_2024,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,cumulativo,72,3,216,55.52546296296296,121.4601129086326,0.6170853672413181,0.8002896790461287
hourly_72_extension,horaria,teste_2024,Sazonal ingenuo,deterministica,,BMW San Luis Potosi,lead_exato,72,3,3,0.0,0.0,,
hourly_72_extension,horaria,teste_2024,XGBoost,semente,42.0,BMW San Luis Potosi,cumulativo,24,3,72,59.209296957770775,128.60336915478675,0.640947120696684,0.7694704669702549
hourly_72_extension,horaria,teste_2024,XGBoost,semente,42.0,BMW San Luis Potosi,lead_exato,24,3,3,0.0,0.0,,
hourly_72_extension,horaria,teste_2024,XGBoost,semente,42.0,BMW San Luis Potosi,cumulativo,48,3,144,72.69655699695512,141.79199857792045,0.8152870066770702,0.6686651856638106
