tarefa,resolucao,particao,modelo,tipo_horizonte,horizonte,N_sementes,MAE_wm2_media,MAE_wm2_desvio_padrao,MAE_wm2_minimo,MAE_wm2_maximo,RMSE_wm2_media,RMSE_wm2_desvio_padrao,RMSE_wm2_minimo,RMSE_wm2_maximo,nRMSE_media,nRMSE_desvio_padrao,nRMSE_minimo,nRMSE_maximo,R2_media,R2_desvio_padrao,R2_minimo,R2_maximo
daily_30,diaria,teste_2024,XGBoost,lead_exato,14,1,88.85783703674596,,88.85783703674596,88.85783703674596,96.97316899349376,,96.97316899349376,96.97316899349376,0.47879881002562863,,0.47879881002562863,0.47879881002562863,-0.9683841477608847,,-0.9683841477608847,-0.9683841477608847
daily_30,diaria,teste_2024,XGBoost,lead_exato,30,1,93.35781582623682,,93.35781582623682,93.35781582623682,96.05861194469283,,96.05861194469283,96.05861194469283,0.45725315759107565,,0.45725315759107565,0.45725315759107565,-0.20424294211180538,,-0.20424294211180538,-0.20424294211180538
daily_30,diaria,validacao_2023,DilatedRNN,cumulativo,1,1,146.6378091680765,,146.6378091680765,146.6378091680765,157.71886084348947,,157.71886084348947,157.71886084348947,0.7847897459289122,,0.7847897459289122,0.7847897459289122,-6.729434145591252,,-6.729434145591252,-6.729434145591252
daily_30,diaria,validacao_2023,DilatedRNN,cumulativo,3,1,154.41372818627187,,154.41372818627187,154.41372818627187,181.8534378287321,,181.8534378287321,181.8534378287321,0.9510998845459264,,0.9510998845459264,0.9510998845459264,-2.3885444448591535,,-2.3885444448591535,-2.3885444448591535
daily_30,diaria,validacao_2023,DilatedRNN,cumulativo,7,1,154.16025081268702,,154.16025081268702,154.16025081268702,186.2944040156139,,186.2944040156139,186.2944040156139,0.9580333823173115,,0.9580333823173115,0.9580333823173115,-3.148102293468038,,-3.148102293468038,-3.148102293468038
daily_30,diaria,validacao_2023,DilatedRNN,cumulativo,14,1,165.17393743272604,,165.17393743272604,165.17393743272604,194.4783266684381,,194.4783266684381,194.4783266684381,0.9779267878512905,,0.9779267878512905,0.9779267878512905,-5.186676488065895,,-5.186676488065895,-5.186676488065895
daily_30,diaria,validacao_2023,DilatedRNN,cumulativo,30,1,181.96360617787082,,181.96360617787082,181.96360617787082,210.05143800522538,,210.05143800522538,210.05143800522538,1.0059549290956376,,1.0059549290956376,1.0059549290956376,-6.396217609665176,,-6.396217609665176,-6.396217609665176
daily_30,diaria,validacao_2023,DilatedRNN,lead_exato,1,1,146.6378091680765,,146.6378091680765,146.6378091680765,157.71886084348947,,157.71886084348947,157.71886084348947,0.7847897459289122,,0.7847897459289122,0.7847897459289122,-6.729434145591252,,-6.729434145591252,-6.729434145591252
daily_30,diaria,validacao_2023,DilatedRNN,lead_exato,3,1,186.47916793823242,,186.47916793823242,186.47916793823242,225.710863191675,,225.710863191675,225.710863191675,1.2133314928079333,,1.2133314928079333,1.2133314928079333,-2.8207108328188664,,-2.8207108328188664,-2.8207108328188664
daily_30,diaria,validacao_2023,DilatedRNN,lead_exato,7,1,100.22690280021538,,100.22690280021538,100.22690280021538,121.9667452950861,,121.9667452950861,121.9667452950861,0.628379216792502,,0.628379216792502,0.628379216792502,-11.43928774381169,,-11.43928774381169,-11.43928774381169
daily_30,diaria,validacao_2023,DilatedRNN,lead_exato,14,1,208.7638874053955,,208.7638874053955,208.7638874053955,233.3091806329365,,233.3091806329365,233.3091806329365,1.1362481761739143,,1.1362481761739143,1.1362481761739143,-86.72005925569859,,-86.72005925569859,-86.72005925569859
daily_30,diaria,validacao_2023,DilatedRNN,lead_exato,30,1,175.97959482082774,,175.97959482082774,175.97959482082774,194.19116355810863,,194.19116355810863,194.19116355810863,0.8653522503169262,,0.8653522503169262,0.8653522503169262,-20.184633586630657,,-20.184633586630657,-20.184633586630657
daily_30,diaria,validacao_2023,LSTM,cumulativo,1,1,208.67361132303873,,208.67361132303873,208.67361132303873,236.86607527352362,,236.86607527352362,236.86607527352362,1.1766090581331325,,1.1766090581331325,1.1766090581331325,-16.603959342210516,,-16.603959342210516,-16.603959342210516
daily_30,diaria,validacao_2023,LSTM,cumulativo,3,1,170.07493723734098,,170.07493723734098,170.07493723734098,205.3924823092387,,205.3924823092387,205.3924823092387,1.0562532266323488,,1.0562532266323488,1.0562532266323488,-3.8358428841843573,,-3.8358428841843573,-3.8358428841843573
daily_30,diaria,validacao_2023,LSTM,cumulativo,7,1,175.47118004388278,,175.47118004388278,175.47118004388278,208.36473860464818,,208.36473860464818,208.36473860464818,1.0641768101839384,,1.0641768101839384,1.0641768101839384,-4.459243110382063,,-4.459243110382063,-4.459243110382063
daily_30,diaria,validacao_2023,LSTM,cumulativo,14,1,174.18115674042966,,174.18115674042966,174.18115674042966,203.7024786854632,,203.7024786854632,203.7024786854632,1.0191795998994002,,1.0191795998994002,1.0191795998994002,-6.031486965954385,,-6.031486965954385,-6.031486965954385
daily_30,diaria,validacao_2023,LSTM,cumulativo,30,1,176.9574393385888,,176.9574393385888,176.9574393385888,206.25761428709444,,206.25761428709444,206.25761428709444,0.9823120946315679,,0.9823120946315679,0.9823120946315679,-6.469886954248265,,-6.469886954248265,-6.469886954248265
daily_30,diaria,validacao_2023,LSTM,lead_exato,1,1,208.67361132303873,,208.67361132303873,208.67361132303873,236.86607527352362,,236.86607527352362,236.86607527352362,1.1766090581331325,,1.1766090581331325,1.1766090581331325,-16.603959342210516,,-16.603959342210516,-16.603959342210516
daily_30,diaria,validacao_2023,LSTM,lead_exato,3,1,156.36533380401963,,156.36533380401963,156.36533380401963,188.551657169537,,188.551657169537,188.551657169537,1.0081579664656988,,1.0081579664656988,1.0081579664656988,-2.1975813298506583,,-2.1975813298506583,-2.1975813298506583
daily_30,diaria,validacao_2023,LSTM,lead_exato,7,1,203.15972391764325,,203.15972391764325,203.15972391764325,222.02210692262386,,222.02210692262386,222.02210692262386,1.1079837653179214,,1.1079837653179214,1.1079837653179214,-62.74256740247739,,-62.74256740247739,-62.74256740247739
daily_30,diaria,validacao_2023,LSTM,lead_exato,14,1,180.60164222641006,,180.60164222641006,180.60164222641006,210.62167296426054,,210.62167296426054,210.62167296426054,1.0263666113427516,,1.0263666113427516,1.0263666113427516,-69.91745700493715,,-69.91745700493715,-69.91745700493715
daily_30,diaria,validacao_2023,LSTM,lead_exato,30,1,173.32125938663293,,173.32125938663293,173.32125938663293,189.13369258231924,,189.13369258231924,189.13369258231924,0.800448225315402,,0.800448225315402,0.800448225315402,-35.004536509025066,,-35.004536509025066,-35.004536509025066
