tarefa,resolucao,particao,modelo,tipo_estimativa,semente,tipo_horizonte,horizonte,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
daily_30,diaria,validacao_2023,Persistencia,deterministica,,lead_exato,7,2,6,6,49.9166624546051,53.63486787795081,0.26428819437104484,-3.3200670027305677,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Persistencia,deterministica,,lead_exato,14,2,6,6,37.243054946263634,45.92382344392114,0.215537666338214,-4.279361235881433,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Persistencia,deterministica,,lead_exato,30,2,6,6,47.68055431048076,63.218902270039464,0.29666215536840546,-0.07568621677192477,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,cumulativo,1,2,6,6,58.51389122009277,62.53876831383947,0.314914400422578,-0.13406235766776875,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,cumulativo,3,2,6,18,66.91435284084744,76.92813753239615,0.37683987566589294,0.057541664290968964,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,cumulativo,7,2,6,42,52.83135064442952,63.89786608887424,0.31824217544746725,0.37952458806147304,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,cumulativo,14,2,6,84,44.57341355369205,55.134211702721245,0.2720218241330315,0.43173669350175886,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,cumulativo,30,2,6,180,42.03819455835554,56.01171950012814,0.2587477079959813,0.29158892149988974,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,lead_exato,1,2,6,6,58.51389122009277,62.53876831383947,0.314914400422578,-0.13406235766776875,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,lead_exato,3,2,6,6,66.27777608235677,68.3799004130132,0.36157625119152487,0.3555508659431117,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,lead_exato,7,2,6,6,47.74305597941081,53.96816211607839,0.2843230033693695,-0.683994293687914,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,lead_exato,14,2,6,6,29.875001907348633,36.43133239414341,0.1829589691086961,-0.34010881533757353,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,Sazonal ingenuo,deterministica,,lead_exato,30,2,6,6,24.208340565363564,32.50474257873992,0.15433072019450136,0.7602833874211158,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,TimesNet,ensemble,,cumulativo,1,2,6,6,95.41934175825737,105.46519112522634,0.5985252247711197,-0.4818252457393619,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,validacao_2023,TimesNet,ensemble,,cumulativo,3,2,6,18,105.62587508518908,115.77217762930846,0.6397150333947423,-0.02200710832282121,media_aritmetica_das_metricas_por_localidade
